categoryid,parentid,categoryname,categoryorder,categoryvisible,alternateurl,lastmodified,category_displaymode,subcategory_displaymode1,display_columns,display_rows,display_showlistprice,display_showyousave,display_showdescriptionshort,display_showavailability,display_featuredproductsonly,rootid,metatag_title,metatag_description,default_sortby,link_title_tag,category_graphic_placement,filtercategory,categorydescriptionshort,categorydescription,metatag_keywords,categorydescription_belowproducts,custom_where_clause,hidden,breadcrumb,photoseed,subcategory_displaymode1_responsive,subcategory_displaycolumns_responsive
380,259,Ryka,,,,5/9/2016 13:53,,,,,,,,,,7,,,Newest,Ryka,,N,,,,,ProductDescriptionShort = 'Womens' and ProductManufacturer = 'Ryka',N,ALL WOMEN'S SHOES > Brands,,0,3
381,258,Adidas,,,,5/9/2016 14:39,,,,,,,,,,1,,,Newest,Adidas,,N,,,,,ProductDescriptionShort = 'Mens' and ProductManufacturer = 'Adidas',N,ALL MEN'S SHOES > Brands,,0,3
382,258,Asics,,,,5/9/2016 14:39,,,,,,,,,,1,,,Newest,Asics,,N,,,,,ProductDescriptionShort = 'Mens' and ProductManufacturer = 'Asics',N,ALL MEN'S SHOES > Brands,,0,3
383,258,Brooks,,,,5/9/2016 14:46,,,,,,,,,,1,,,Newest,Brooks,,N,,,,,ProductDescriptionShort = 'Mens' and ProductManufacturer = 'Brooks',N,ALL MEN'S SHOES > Brands,,0,3
384,258,Converse,,,,7/7/2015 15:04,,,,,,,,,,1,,,,Converse,,N,,,,,ProductDescriptionShort = 'Mens' and ProductManufacturer = 'Converse',Y,ALL MEN'S SHOES > Brands,,0,3
385,258,DC Shoes,,,,7/7/2015 15:05,,,,,,,,,,1,,,,DC_Shoes,,N,,,,,ProductDescriptionShort = 'Mens' and ProductManufacturer = 'DC Shoes',Y,ALL MEN'S SHOES > Brands,,0,3
386,258,Etnies,,,,5/9/2016 14:55,,,,,,,,,,1,,,Newest,Etnies,,N,,,,,ProductDescriptionShort = 'Mens' and ProductManufacturer = 'Etnies',N,ALL MEN'S SHOES > Brands,,0,3
387,258,K Swiss,,,,5/9/2016 14:58,,,,,,,,,,1,,,Newest,K_Swiss,,N,,,,,ProductDescriptionShort = 'Mens' and ProductManufacturer = 'K Swiss',N,ALL MEN'S SHOES > Brands,,0,3
388,258,New Balance,,,,5/9/2016 15:01,,,,,,,,,,1,,,Newest,New_Balance,,N,,,,,ProductDescriptionShort = 'Mens' and ProductManufacturer = 'New Balance',N,ALL MEN'S SHOES > Brands,,0,3
389,258,Osiris,,,,7/7/2015 15:07,,,,,,,,,,1,,,,Osiris,,N,,,,,ProductDescriptionShort = 'Mens' and ProductManufacturer = 'Osiris',Y,ALL MEN'S SHOES > Brands,,0,3
390,258,Puma,,,,5/9/2016 15:03,,,,,,,,,,1,,,Newest,Puma,,N,,,,,ProductDescriptionShort = 'Mens' and ProductManufacturer = 'Puma',N,ALL MEN'S SHOES > Brands,,0,3
391,258,Reebok,,,,5/9/2016 15:03,,,,,,,,,,1,,,Newest,Reebok,,N,,,,,ProductDescriptionShort = 'Mens' and ProductManufacturer = 'Reebok',N,ALL MEN'S SHOES > Brands,,0,3
392,258,Salomon,,,,6/30/2015 9:58,,,,,,,,,,1,,,,Salomon,,N,,,,,ProductDescriptionShort = 'Mens' and ProductManufacturer = 'Salomon',Y,ALL MEN'S SHOES > Brands,,0,3
393,258,Saucony,,,,5/9/2016 15:09,,,,,,,,,,1,,,Newest,Saucony,,N,,,,,ProductDescriptionShort = 'Mens' and ProductManufacturer = 'Saucony',N,ALL MEN'S SHOES > Brands,,0,3
394,258,Spira,,,,7/7/2015 15:08,,,,,,,,,,1,,,,Spira,,N,,,,,ProductDescriptionShort = 'Mens' and ProductManufacturer = 'Spira',Y,ALL MEN'S SHOES > Brands,,0,3
395,258,Vans,,,,5/9/2016 15:14,,,,,,,,,,1,,,Newest,Vans,,N,,,,,ProductDescriptionShort = 'Mens' and ProductManufacturer = 'Vans',N,ALL MEN'S SHOES > Brands,,0,3
396,1,Sale Items,4,,,5/9/2016 14:20,,,,,,,,,,1,,,Newest,Mens_Sale_Items,,N,,,,,ProductDescriptionShort = 'Mens' and CustomField1 = 'SALE',N,ALL MEN'S SHOES,,0,3
397,7,Sale Items,11,,,5/9/2016 13:14,,,,,,,,,,7,,,Newest,Womens_Sale_Items,,N,,,,,ProductDescriptionShort = 'Womens' and CustomField1 = 'SALE',N,ALL WOMEN'S SHOES,,0,3
398,258,Vionic,,,,6/14/2016 12:59,,,,,,,,,,1,,,Newest,Vionic,,N,,,,,ProductDescriptionShort = 'Mens' and ProductManufacturer = 'Vionic',Y,ALL MEN'S SHOES > Brands,,0,3
404,259,Merrell,,,,5/9/2016 13:43,,,,,,,,,,7,,,Newest,Merrell,,N,,,,,ProductDescriptionShort = 'Womens' and ProductManufacturer = 'Merrell',N,ALL WOMEN'S SHOES > Brands,,0,3
405,0,Clarks Sale,,,,9/18/2014 9:35,,,,,,,,,,405,,,,,,N,,,,,ProductManufacturer = 'Clarks',N,,,0,3
406,259,Columbia,,,,6/15/2015 10:40,,,,,,,,,,7,,,,Columbia,,N,,,,,ProductDescriptionShort = 'Womens' and ProductManufacturer = 'Columbia',Y,ALL WOMEN'S SHOES > Brands,,0,3
408,259,Cushe,,,,6/15/2015 11:02,,,,,,,,,,7,,,,Cushe,,N,,,,,(ProductDescriptionShort = 'Womens' or ProductDescriptionShort = 'Women''s')  and ProductManufacturer = 'Cushe',Y,ALL WOMEN'S SHOES > Brands,,0,3
409,259,Sorel,,,,5/9/2016 13:57,,,,,,,,,,7,,,Newest,Sorel,,N,,,,,(ProductDescriptionShort = 'Womens' or ProductDescriptionShort = 'Women''s')  and ProductManufacturer = 'Sorel',N,ALL WOMEN'S SHOES > Brands,,0,3
410,258,Columbia,,,,7/7/2015 15:04,,,,,,,,,,1,,,,Columbia,,N,,,,,(ProductDescriptionShort = 'Mens' or ProductDescriptionShort = 'Men''s')  and ProductManufacturer = 'Columbia',Y,ALL MEN'S SHOES > Brands,,0,3
411,258,Cushe,,,,5/9/2016 14:50,,,,,,,,,,1,,,Newest,Cushe,,N,,,,,(ProductDescriptionShort = 'Mens' or ProductDescriptionShort = 'Men''s')  and ProductManufacturer = 'Cushe',N,ALL MEN'S SHOES > Brands,,0,3
412,259,Milano,,,,5/9/2016 13:44,,,,,,,,,,7,,,Newest,Milano,,N,,,,,(ProductDescriptionShort = 'Womens' or ProductDescriptionShort = 'Women''s')and ProductManufacturer = 'Milano',N,ALL WOMEN'S SHOES > Brands,,,3
413,0,Boot Sale,,,,10/16/2014 9:38,,,,,,,,,,413,,,,,,N,,,,,"ProductID IN (SELECT Products.ProductID FROM Products,Categories_Products_Link,Products_Extended WHERE Products.ProductID=Categories_Products_Link.ProductID AND Products.ProductID=Products_Extended.ProductID AND Categories_Products_Link.CategoryID=2 AND Products_Extended.ProductManufacturer <> 'Ugg' AND Products_Extended.ListPrice like '%.95') OR ProductID IN (SELECT Products.ProductID FROM Products,Categories_Products_Link,Products_Extended WHERE Products.ProductID=Categories_Products_Link.ProductID AND Products.ProductID=Products_Extended.ProductID AND Categories_Products_Link.CategoryID=13 AND Products_Extended.ProductManufacturer <> 'Ugg' AND Products_Extended.ListPrice like '%.95') OR ProductID IN (SELECT Products.ProductID FROM Products,Categories_Products_Link,Products_Extended WHERE Products.ProductID=Categories_Products_Link.ProductID AND Products.ProductID=Products_Extended.ProductID AND Categories_Products_Link.CategoryID=13 AND Products_Extended.ProductManufacturer <> 'Ugg' AND Products_Extended.ListPrice is null AND Products_Extended.ProductPrice like '%.95') OR ProductID IN (SELECT Products.ProductID FROM Products,Categories_Products_Link,Products_Extended WHERE Products.ProductID=Categories_Products_Link.ProductID AND Products.ProductID=Products_Extended.ProductID AND Categories_Products_Link.CategoryID=2 AND Products_Extended.ProductManufacturer <> 'Ugg' AND Products_Extended.ListPrice is null AND Products_Extended.ProductPrice like '%.95')",N,,,,3
414,258,Timberland,,,,5/9/2016 15:12,,,,,,,,,,1,,,Newest,Timberland,,N,,,,,ProductDescriptionShort = 'Mens' and ProductManufacturer = 'Timberland',N,ALL MEN'S SHOES > Brands,,,3
415,258,Carolina,,,,5/9/2016 14:47,,,,,,,,,,1,,,Newest,Carolina,,N,,,,,ProductDescriptionShort = 'Mens' and ProductManufacturer = 'Carolina',N,ALL MEN'S SHOES > Brands,,,3
416,258,Crevo,,,,6/14/2016 12:51,,,,,,,,,,1,,,Newest,Crevo,,N,,,,,ProductDescriptionShort = 'Mens' and ProductManufacturer = 'Crevo',Y,ALL MEN'S SHOES > Brands,,,3
417,259,Isola,,,,5/9/2016 13:36,,,,,,,,,,7,,,Newest,Isola,,N,,,,,ProductDescriptionShort = 'Womens' and ProductManufacturer = 'Isola',N,ALL WOMEN'S SHOES > Brands,,,3
418,0,AllButUgg,,,,12/17/2015 9:03,,,,,,,Y,,,418,,,,,,N,,,,,,N,,,,3
431,73,Apparel,2,,,9/13/2016 13:23,,,,,,,,,,73,,,Newest,,,N,,,,,,N,ACCESSORIES,,,3
432,431,Gloves and Hats,,,,5/9/2016 14:24,,,,,,,,,,73,,,Newest,,,N,,,,,,N,ACCESSORIES > Apparel,,,3
433,431,Scarves,,,,5/9/2016 14:24,,,,,,,,,,73,,,Newest,,,N,,,,,,N,ACCESSORIES > Apparel,,,3
434,431,Shirts,,,,5/19/2016 14:47,,,,,,,,,,73,,,Newest,,,N,,,,,,Y,ACCESSORIES > Apparel,,,3
435,73,Backpacks,,,,5/19/2016 14:51,,,,,,,,,,73,,,Newest,,,N,,,,,,Y,ACCESSORIES,,,3
436,73,Gifts,3,,,5/9/2016 14:25,,,,,,,,,,73,,,Newest,,,N,,,,,,N,ACCESSORIES,,,3
437,73,Handbags,3,,,10/5/2016 14:07,,,,,,,,,,73,,,Newest,,,N,,,,,,N,ACCESSORIES,1464073795,,4
438,437,Daytime Handbags,0,,,5/24/2016 13:34,,,,,,,,,,73,,,Newest,,,N,,,,,,N,ACCESSORIES > Handbags,,,3
439,437,Wallets,2,,,12/8/2014 10:18,,,,,,,,,,73,,,,,,N,,,,,,N,ACCESSORIES > Handbags,,,3
440,437,Wristlets,2,,,5/9/2016 14:31,,,,,,,,,,73,,,Newest,,,N,,,,,,N,ACCESSORIES > Handbags,,,3
441,73,Insoles,3,,,5/9/2016 14:31,,,,,,,,,,73,,,Newest,,,N,,,,,,N,ACCESSORIES,,,3
442,73,Jewelry,3,,,9/13/2016 13:24,,,,,,,,,,73,,,Newest,,,N,,,,,,N,ACCESSORIES,,,3
444,442,Bracelets,,,,7/5/2016 10:34,,,,,,,,,,73,,,Newest,,,N,,,,,,Y,ACCESSORIES > Jewelry,,,3
445,442,Earrings,,,,5/9/2016 14:33,,,,,,,,,,73,,,Newest,,,N,,,,,,N,ACCESSORIES > Jewelry,,,3
446,442,Necklaces,,,,5/9/2016 14:33,,,,,,,,,,73,,,Newest,,,N,,,,,,N,ACCESSORIES > Jewelry,,,3
447,442,Sunglasses,,,,7/5/2016 10:34,,,,,,,,,,73,,,Newest,,,N,,,,,,Y,ACCESSORIES > Jewelry,,,3
448,442,Watches,,,,7/5/2016 10:32,,,,,,,,,,73,,,Newest,,,N,,,,,,Y,ACCESSORIES > Jewelry,,,3
449,73,Ladies Socks,3,,,5/9/2016 14:36,,,,,,,,,,73,,,Newest,,,N,,,,,,N,ACCESSORIES,,,3
450,73,Mens Socks,3,,,5/9/2016 14:36,,,,,,,,,,73,,,Newest,,,N,,,,,,N,ACCESSORIES,,,3
451,259,Spring Step,,,,5/9/2016 13:58,,,,,,,,,,7,,,Newest,Spring_Step,,N,,,,,ProductDescriptionShort = 'Womens' and ProductManufacturer = 'Spring Step',N,ALL WOMEN'S SHOES > Brands,,,3
452,258,Tommy Bahama,,,,5/9/2016 15:12,,,,,,,,,,1,,,Newest,Tommy_Bahama,,N,,,,,ProductDescriptionShort = 'Mens' and ProductManufacturer = 'Tommy Bahama',N,ALL MEN'S SHOES > Brands,,,3
453,259,J.Renee,,,,5/9/2016 13:36,,,,,,,,,,7,,,Newest,JRenee,,N,,,,,ProductDescriptionShort = 'Womens' and ProductManufacturer = 'J.Renee',N,ALL WOMEN'S SHOES > Brands,,,3
454,259,Sam Edelman,,,,5/9/2016 13:53,,,,,,,,,,7,,,Newest,Sam_Edelman,,N,,,,,ProductDescriptionShort = 'Womens' and ProductManufacturer = 'Sam Edelman',N,ALL WOMEN'S SHOES > Brands,,,3
455,259,Arcopedico,,,,5/9/2016 13:16,,,,,,,,,,7,,,Newest,Arcopedico,,N,,,,,ProductDescriptionShort = 'Womens' and ProductManufacturer = 'Arcopedico',N,ALL WOMEN'S SHOES > Brands,,,3
456,259,Robert Wayne,,,,6/26/2015 14:21,,,,,,,,,,7,,,,Robert_Wayne,,N,,,,,ProductDescriptionShort = 'Womens' and ProductManufacturer = 'Robert Wayne',Y,ALL WOMEN'S SHOES > Brands,,,3
457,259,Jeffrey Campbell,,,,5/9/2016 13:37,,,,,,,,,,7,,,Newest,Jeffrey_Campbell,,N,,,,,ProductDescriptionShort = 'Womens' and ProductManufacturer = 'Jeffrey Campbell',N,ALL WOMEN'S SHOES > Brands,,,3
458,258,Olukai,,,,5/9/2016 15:02,,,,,,,,,,1,,,Newest,Olukai,,N,,,,,ProductDescriptionShort = 'Mens' and ProductManufacturer = 'Olukai',N,ALL MEN'S SHOES > Brands,,,3
459,259,Sanuk,,,,5/9/2016 13:54,,,,,,,,,,7,,,Newest,Sanuk,,N,,,,,ProductDescriptionShort = 'Womens' and ProductManufacturer = 'Sanuk',N,ALL WOMEN'S SHOES > Brands,,,3
460,259,Chaco,,,,5/9/2016 13:24,,,,,,,,,,7,,,Newest,Chaco,,N,,,,,ProductDescriptionShort = 'Womens' and ProductManufacturer = 'Chaco',N,ALL WOMEN'S SHOES > Brands,,,3
461,258,Chaco,,,,4/29/2015 8:45,,,,,,,,,,1,,,,Chaco,,N,,,,,ProductDescriptionShort = 'Mens' and ProductManufacturer = 'Chaco',N,ALL MEN'S SHOES > Brands,,,3
462,259,Hoka,,,,5/9/2016 13:35,,,,,,,,,,7,,,Newest,Hoka,,N,,,,,ProductDescriptionShort = 'Womens' and ProductManufacturer = 'Hoka',N,ALL WOMEN'S SHOES > Brands,,,3
463,258,Hoka,,,,5/9/2016 14:57,,,,,,,,,,1,,,Newest,Hoka,,N,,,,,ProductDescriptionShort = 'Mens' and ProductManufacturer = 'Hoka',N,ALL MEN'S SHOES > Brands,,,3
465,0,Size,,,,5/14/2015 9:40,,,,,,,,,,465,,,,,,Y,,,,,,Y,,,,3
466,258,Natural World,,,,6/14/2016 12:56,,,,,,,,,,1,,,Newest,Natural World,,N,,,,,ProductDescriptionShort = 'Mens' and ProductManufacturer = 'Natural World',Y,ALL MEN'S SHOES > Brands,,,3
467,258,Soft Science,,,,6/14/2016 12:58,,,,,,,,,,1,,,Newest,,,N,,,,,ProductDescriptionShort = 'Mens' and ProductManufacturer = 'Soft Science',Y,ALL MEN'S SHOES > Brands,,,3
470,259,Enzo Angiolini,,,,5/9/2016 13:31,,,,,,,,,,7,,,Newest,Enzo Angiolini,,N,,,,,ProductDescriptionShort = 'Womens' and ProductManufacturer = 'Enzo Angiolini',N,ALL WOMEN'S SHOES > Brands,,,3
472,259,Ros Hommerson,,,,6/17/2016 10:43,,,,,,,,,,7,,,Newest,,,N,,,,,ProductDescriptionShort = 'Womens' and ProductManufacturer = 'Ros Hommerson',N,ALL WOMEN'S SHOES > Brands,,,3
473,259,Kanna,,,,6/17/2016 10:44,,,,,,,,,,7,,,Newest,,,N,,,,,ProductDescriptionShort = 'Womens' and ProductManufacturer='Kanna',N,ALL WOMEN'S SHOES > Brands,,,3
474,258,Sorel,,,,6/17/2016 10:47,,,,,,,,,,1,,,Newest,,,N,,,,,ProductDescriptionShort = 'Mens' and ProductManufacturer='Sorel',N,ALL MEN'S SHOES > Brands,,,3
475,258,North Face,,,,6/17/2016 10:48,,,,,,,,,,1,,,Newest,,,N,,,,,ProductDescriptionShort = 'Mens' and ProductManufacturer='North Face',N,ALL MEN'S SHOES > Brands,,,3
476,258,Under Armour,,,,6/17/2016 10:49,,,,,,,,,,1,,,Newest,,,N,,,,,ProductDescriptionShort = 'Mens' and ProductManufacturer='Under Armour',N,ALL MEN'S SHOES > Brands,,,3
477,258,Blundstone,,,,6/17/2016 10:51,,,,,,,,,,1,,,Newest,,,N,,,,,ProductDescriptionShort = 'Mens' and ProductManufacturer='Blundstone',N,ALL MEN'S SHOES > Brands,,,3
478,258,L.B. Evans Son,,,,6/17/2016 10:52,,,,,,,,,,1,,,Newest,,,N,,,,,ProductDescriptionShort = 'Mens' and ProductManufacturer='L.B. Evans Son Company',N,ALL MEN'S SHOES > Brands,,,3
479,258,David X Shoes,,,,6/17/2016 10:54,,,,,,,,,,1,,,Newest,,,N,,,,,ProductDescriptionShort = 'Mens' and ProductManufacturer='David X Shoes',N,ALL MEN'S SHOES > Brands,,,3
480,258,"Hi-Tec Sports USA, Inc.",,,,6/17/2016 10:55,,,,,,,,,,1,,,Newest,,,N,,,,,"ProductDescriptionShort = 'Mens' and ProductManufacturer='Hi-Tec Sports USA, Inc.'",N,ALL MEN'S SHOES > Brands,,,3
481,258,Rocky Shoes & Boots,,,,6/17/2016 10:57,,,,,,,,,,1,,,Newest,,,N,,,,,ProductDescriptionShort = 'Mens' and ProductManufacturer='Rocky Shoes & Boots Inc',N,ALL MEN'S SHOES > Brands,,,3
482,259,Propet,,,,6/17/2016 10:58,,,,,,,,,,7,,,Newest,,,N,,,,,ProductDescriptionShort = 'Womens' and ProductManufacturer='Propet Usa Inc.',N,ALL WOMEN'S SHOES > Brands,,,3
483,258,Lorens,,,,6/17/2016 10:59,,,,,,,,,,1,,,Newest,,,N,,,,,ProductDescriptionShort = 'Mens' and ProductManufacturer='Lorens',N,ALL MEN'S SHOES > Brands,,,3
484,259,Under Armour,,,,6/17/2016 11:00,,,,,,,,,,7,,,Newest,,,N,,,,,ProductDescriptionShort = 'Womens' and ProductManufacturer='Under Armour',N,ALL WOMEN'S SHOES > Brands,,,3
485,259,Toms Shoes Inc.,,,,6/29/2016 12:34,,,,,,,,,,7,,,Newest,,,N,,,,,ProductDescriptionShort = 'Womens' and ProductManufacturer='Toms Shoes Inc.',N,ALL WOMEN'S SHOES > Brands,,,3
486,73,Accessories,,,,4/25/2016 8:49,,,,,,,,,,73,,,,,,N,,,,,,Y,ACCESSORIES,,,3
487,259,Summer Rio Corp.,,,,6/17/2016 11:45,,,,,,,,,,7,,,Newest,,,N,,,,,ProductDescriptionShort = 'Womens' and ProductManufacturer='Summer Rio Corp.',N,ALL WOMEN'S SHOES > Brands,,,3
488,259,Elegant,,,,6/17/2016 11:46,,,,,,,,,,7,,,Newest,,,N,,,,,ProductDescriptionShort = 'Womens' and ProductManufacturer='Elegant',N,ALL WOMEN'S SHOES > Brands,,,3
490,437,Evening Bags,1,,,5/24/2016 10:36,,,,,,,,,,73,,,,,,,,,,,,,ACCESSORIES > Handbags,,,3
492,73,Brands,1,,,10/5/2016 14:06,,,,,,,,,,73,,,,,,N,,,,,,N,ACCESSORIES,,,4
493,492,Anuschka,,,,6/17/2016 11:48,,,,,,,,,,73,,,,,,N,,,,,ProductDescriptionShort = 'Accessories' and ProductManufacturer='Anuschka',N,ACCESSORIES > Brands,,,3
494,492,Laurel Burch,,,,6/29/2016 15:12,,,,,,,,,,73,,,,,,N,,,,,ProductDescriptionShort = 'Accessories' and ProductManufacturer='Laurel Burch',N,ACCESSORIES > Brands,,,3
496,492,Patricia Nash,,,,6/29/2016 15:12,,,,,,,,,,73,,,,,,N,,,,,ProductDescriptionShort = 'Accessories' and ProductManufacturer='Patricia Nash',N,ACCESSORIES > Brands,,,3
497,492,Baggallini,,,,6/29/2016 15:11,,,,,,,,,,73,,,,,,N,,,,,ProductDescriptionShort = 'Accessories' and ProductManufacturer='Baggallini',N,ACCESSORIES > Brands,,,3
498,492,Wendell August,,,,7/5/2016 13:23,,,,,,,,,,73,,,,,,N,,,,,ProductDescriptionShort = 'Accessories' and ProductManufacturer='Wendell August',Y,ACCESSORIES > Brands,,,3
499,492,Foot Traffic,,,,6/30/2016 11:01,,,,,,,,,,73,,,,,,N,,,,,ProductDescriptionShort = 'Accessories' and ProductManufacturer='Foot Traffic',Y,ACCESSORIES > Brands,,,3
500,492,Vinrella,,,,6/29/2016 15:21,,,,,,,,,,73,,,,,,N,,,,,ProductDescriptionShort = 'Accessories' and ProductManufacturer='Vinrella',N,ACCESSORIES > Brands,,,3
501,492,Johnston & Murphy,,,,6/29/2016 15:34,,,,,,,,,,73,,,,,,N,,,,,ProductDescriptionShort = 'Accessories' and ProductManufacturer='Johnston & Murphy',N,ACCESSORIES > Brands,,,3
502,492,K. Bell,,,,6/29/2016 15:35,,,,,,,,,,73,,,,,,N,,,,,ProductDescriptionShort = 'Accessories' and ProductManufacturer='K. Bell',N,ACCESSORIES > Brands,,,3
503,492,Magid,,,,7/5/2016 13:22,,,,,,,,,,73,,,,,,N,,,,,ProductDescriptionShort = 'Accessories' and ProductManufacturer='Magid Handbags & Belts',Y,ACCESSORIES > Brands,,,3
504,259,Onex,,,,6/29/2016 15:50,,,,,,,,,,7,,,,,,N,,,,,ProductDescriptionShort = 'Womens' and ProductManufacturer='Onex',N,ALL WOMEN'S SHOES > Brands,,,3
505,492,Alegria,,,,6/29/2016 16:53,,,,,,,,,,73,,,,,,N,,,,,ProductDescriptionShort = 'Accessories' and ProductManufacturer='Alegria',Y,ACCESSORIES > Brands,,,3
506,259,Report Footwear Inc.,,,,6/29/2016 15:59,,,,,,,,,,7,,,,,,N,,,,,ProductDescriptionShort = 'Accessories' and ProductManufacturer='Report Footwear Inc.',N,ALL WOMEN'S SHOES > Brands,,,3
507,258,Propet Usa Inc.,,1,,6/29/2016 16:06,,,,,,,,,,1,,,,,,N,,,,,ProductDescriptionShort = 'Mens' and ProductManufacturer='Propet',N,ALL MEN'S SHOES > Brands,,,3
508,259,Caparros Corporation,,1,,6/29/2016 16:10,,,,,,,,,,7,,,,,,N,,,,,ProductDescriptionShort = 'Womens' and ProductManufacturer='Caparros Corporation',N,ALL WOMEN'S SHOES > Brands,,,3
509,258,Robert Wayne,,,,6/29/2016 16:12,,,,,,,,,,1,,,,,,N,,,,,ProductDescriptionShort = 'Mens' and ProductManufacturer='Robert Wayne',N,ALL MEN'S SHOES > Brands,,,3
510,492,Hunter Boots,,,,6/29/2016 16:15,,,,,,,,,,73,,,,,,N,,,,,ProductDescriptionShort = 'Accessories' and ProductManufacturer='Hunter Boots',N,ACCESSORIES > Brands,,,3
511,492,UGG,,,,6/29/2016 16:24,,,,,,,,,,73,,,,,,N,,,,,ProductDescriptionShort = 'Accessories' and ProductManufacturer='UGG',N,ACCESSORIES > Brands,,,3
512,492,Chelsea Taylor,,,,7/5/2016 11:53,,,,,,,,,,73,,,,,,N,,,,,ProductDescriptionShort = 'Accessories' and ProductManufacturer='Chelsea Taylor',N,ACCESSORIES > Brands,,,3
513,442,Rings,,,,7/1/2016 15:01,,,,,,,,,,73,,,,,,N,,,,,,N,ACCESSORIES > Jewelry,,,3
514,259,Walking Cradle,,1,,7/6/2016 13:16,,,,,,,,,,7,,,,,,N,,,,,ProductDescriptionShort = 'Womens' and ProductManufacturer = 'The Walking Cradle Co.',N,ALL WOMEN'S SHOES > Brands,,,3
515,259,Not Rated,,,,7/22/2016 14:21,,,,,,,,,,7,,,,,,N,,,,,ProductDescriptionShort = 'Womens' and ProductManufacturer = 'Not Rated',N,ALL WOMEN'S SHOES > Brands,,,3
516,259,Drew Shoe Corp,,,,8/19/2016 14:35,,,,,,,,,,7,,,,,,N,,,,,ProductDescriptionShort = 'Womens' and ProductManufacturer = 'Drew Shoe Corp',N,ALL WOMEN'S SHOES > Brands,,,3
517,259,Rockport,,,,10/5/2016 15:05,,,,,,,,,,7,,,,Rockport,,N,,,,,ProductDescriptionShort = 'Womens' and ProductManufacturer = 'Rockport',N,ALL WOMEN'S SHOES > Brands,,,3
518,259,Tempur-Pedic,,,,9/22/2016 13:54,,,,,,,,,,7,,,,Tempur-Pedic,,N,,,,,ProductDescriptionShort = 'Womens' and ProductManufacturer = 'Tempur-Pedic',N,ALL WOMEN'S SHOES > Brands,,,3
519,0,Search by Size,2,1,https://www.reyers.com/Articles.asp?ID=243,9/27/2016 14:23,,,,,,,,,,519,,,,,,N,,,,,,N,,,,3
520,2,Dress Boot,1,,,10/24/2016 10:33,,,,,,,,,,1,,,Newest,,,N,,,,,,N,ALL MEN'S SHOES > Boots,,,3
521,2,Waterproof Boot,1,,,10/24/2016 10:34,,,,,,,,,,1,,,Newest,,,N,,,,,,N,ALL MEN'S SHOES > Boots,,,3
522,2,Fur Lined,1,,,10/24/2016 10:33,,,,,,,,,,1,,,Newest,,,N,,,,,,N,ALL MEN'S SHOES > Boots,,,3
523,13,Hiking,1,,,10/25/2016 8:07,,,,,,,,,,7,,,,,,,,,,,,,ALL WOMEN'S SHOES > Boots,,,3
524,259,Laforst,,,,11/14/2016 12:26,,,,,,,,,,7,,,,,,N,,,,,ProductDescriptionShort = 'Womens' and ProductManufacturer = 'Laforst',N,ALL WOMEN'S SHOES > Brands,,,3
525,0,Slipper Sale,,,,11/14/2016 10:47,,,,,,,,,,525,,,,,,N,,,,,,N,,,,3
527,259,Hypard Trading Corp,,,,11/15/2016 12:38,,,,,,,,,,7,,,,,,N,,,,,ProductDescriptionShort = 'Womens' and ProductManufacturer = 'Hypard Trading Corp.',N,ALL WOMEN'S SHOES > Brands,,,3
